id,option_value_id,locale,option_id,name,short_name,created_at,updated_at
1058,1052,zh_Hant,1008,鹽水煮蛋,水煮蛋,2023/3/8 06:47,2023/3/8 06:47
1059,1053,zh_Hant,1008,蒜香時蔬,時蔬,2023/3/8 06:47,2023/3/8 06:47
1060,1054,zh_Hant,1008,酸炸菇菇,香菇,2023/3/8 06:47,2023/3/8 06:47
1061,1055,zh_Hant,1008,香滷豆干,豆干,2023/3/8 06:47,2023/3/8 06:47
1062,1056,zh_Hant,1008,香菇油飯,油飯,2023/3/8 06:47,2023/3/8 06:47
1087,1043,zh_Hant,1007,清蒸嫰雞胸,清蒸嫰雞胸,2023/3/8 07:10,2023/3/8 07:10
1088,1044,zh_Hant,1007,滷雞腿,滷雞腿,2023/3/8 07:10,2023/3/8 07:10
1089,1045,zh_Hant,1007,滷牛腱,滷牛腱,2023/3/8 07:10,2023/3/8 07:10
1098,1057,zh_Hant,1009,全素薯泥潤餅,全素薯,2023/3/8 07:16,2023/3/8 07:16
1099,1058,zh_Hant,1009,蛋素薯泥潤餅,蛋素薯,2023/3/8 07:16,2023/3/8 07:16
1100,1059,zh_Hant,1009,薯泥潤餅,薯泥,2023/3/8 07:16,2023/3/8 07:16
1101,1060,zh_Hant,1009,炸蝦潤餅,炸蝦,2023/3/8 07:16,2023/3/8 07:16
1102,1061,zh_Hant,1009,炒雞潤餅,炒雞,2023/3/8 07:16,2023/3/8 07:16
1103,1062,zh_Hant,1009,酥魚潤餅,酥魚,2023/3/8 07:16,2023/3/8 07:16
1104,1063,zh_Hant,1009,培根潤餅,培根,2023/3/8 07:16,2023/3/8 07:16
1105,1064,zh_Hant,1009,滷肉潤餅,滷肉,2023/3/8 07:16,2023/3/8 07:16
1108,1065,zh_Hant,1010,環保袋(小),環保袋(小),2023/3/8 07:24,2023/3/8 07:24
1109,1066,zh_Hant,1010,環保袋(大),環保袋(大),2023/3/8 07:24,2023/3/8 07:24
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
